sido,sigungu,dong,adm_cd,corp_cnt,tot_worker,lat,lon
경기도,수원시 팔달구,인계동,31013560,9495,49849,37.268697,127.027544
서울특별시,강남구,논현1동,11230520,8207,49743,37.511874,127.026502
서울특별시,마포구,상암동,11140740,3662,49742,37.570739,126.879902
경기도,화성시,향남읍,31240140,11043,49580,37.114536,126.926898
서울특별시,영등포구,문래동,11190760,7474,49183,37.516518,126.891181
서울특별시,강남구,삼성2동,11230590,6210,48399,37.511854,127.048782
서울특별시,서초구,양재1동,11220660,5443,46578,37.469422,127.022394
경기도,성남시 중원구,상대원1동,31022570,6468,45020,37.440318,127.180275
서울특별시,강남구,역삼2동,11230650,5878,44415,37.49848,127.044891
경기도,시흥시,정왕1동,31150650,9047,43849,37.332813,126.734655
경기도,화성시,남양읍,31240150,6444,43711,37.208061,126.821779
서울특별시,강남구,청담동,11230780,6650,43469,37.524362,127.05054
서울특별시,서초구,서초1동,11220510,5403,43285,37.487025,127.020087
경기도,이천시,부발읍,31210120,3656,43116,37.273191,127.506982
서울특별시,영등포구,영등포동,11190740,14935,42776,37.521641,126.907673
경기도,화성시,동탄5동,31240650,9961,40650,37.209341,127.123393
경기도,수원시 권선구,평동,31012550,5774,40570,37.245791,126.980004
경기도,고양시 일산동구,장항2동,31103590,10844,39559,37.655748,126.768877
경기도,화성시,팔탄면,31240380,7771,39335,37.153648,126.882064
경기도,군포시,군포1동,31160510,7561,39239,37.353859,126.952149
경기도,김포시,양촌읍,31230130,8012,38045,37.664664,126.643356
인천광역시,남동구,구월3동,23050530,6461,37879,37.448572,126.701629
서울특별시,서대문구,신촌동,11130750,5092,37317,37.563989,126.941612
인천광역시,연수구,송도1동,23040640,4316,36528,37.38239,126.646747
서울특별시,강남구,압구정동,11230770,5945,36359,37.529752,127.034334
경기도,성남시 분당구,서현1동,31023580,5545,35919,37.385561,127.149364
인천광역시,연수구,송도3동,23040650,5944,35904,37.372432,126.664625
경기도,화성시,동탄1동,31240610,5823,35351,37.210219,127.073936
경기도,화성시,봉담읍,31240120,9952,34884,37.203924,126.939194
서울특별시,중구,광희동,11020590,9110,34870,37.565078,127.0037
인천광역시,부평구,청천2동,23060620,4628,34636,37.515179,126.713322
경기도,부천시 오정구,신흥동,31053571,7562,34324,37.52308,126.771781
서울특별시,강서구,공항동,11160690,2519,34147,37.555694,126.794605
서울특별시,강서구,발산1동,11160670,6697,34058,37.550502,126.82539
경기도,파주시,월롱면,31200310,2955,34018,37.797349,126.788826
경기도,성남시 분당구,정자1동,31023770,4147,33750,37.371344,127.105621
서울특별시,강남구,대치4동,11230630,5811,33622,37.501565,127.054761
인천광역시,서구,오류왕길동,23080840,5821,33594,37.581954,126.621812
경기도,남양주시,진접읍,31130120,9487,33486,37.725504,127.193681
경기도,수원시 영통구,광교1동,31014620,5393,33259,37.301325,127.047684
경기도,김포시,대곶면,31230340,7624,32114,37.645624,126.572491
경기도,남양주시,화도읍,31130111,9723,31580,37.652786,127.315961
서울특별시,중구,을지로동,11020600,9219,31514,37.568482,126.996521
