삼삼ID,매물명,건물유형,방수,시도,시군구,동,인근역,동삼삼매물수,평수,삼삼주당_만원,삼삼월환산_만원,1달예약일,1달막힘일,1달실현수익_만원,네이버월세_만원,네이버관리비_만원,관리비표기여부,네이버월총_만원,네이버보증금_만원,매칭매물수,네이버월총÷삼삼주당,실현효율(1달실현÷네이버월총),현실효율(1달실현÷네이버월세),순수익_만원(1달실현−월세−관리비),건물네이버매물수,건물월세최저_만원,건물월세중간_만원,건물월세최고_만원,네이버건물,네이버링크,삼삼링크
94208,Two Bedrooms,오피스텔,투룸,경기도,성남시 분당구,정자동,강남역,85,19,140.0,608.3,13,4,300.0,92.5,38.0,미표기(평당2만),130.5,1000.0,8,0.93,2.3,3.24,169.5,10,85,90.0,95,분당인텔리지2,https://new.land.naver.com/offices?articleNo=2632533380,https://web.33m2.co.kr/guest/room/94208
79274,#광안리 오션뷰 힐링,오피스텔,원룸,부산광역시,수영구,광안동,금련산역,143,11,63.0,273.7,26,0,234.0,60,10.0,표기,70.0,500,1,1.11,3.34,3.9,164.0,32,50,60.0,125,광안지웰에스테이트,https://new.land.naver.com/offices?articleNo=2628705922,https://web.33m2.co.kr/guest/room/79274
68698,초역세권 /성수 왕십리,아파트,원룸,서울특별시,성동구,하왕십리동,,9,18,78.0,338.9,29,0,323.1,126.5,36.0,미표기(평당2만),162.5,1500.0,2,2.08,1.99,2.55,160.6,7,25,125,130,센트라스,https://new.land.naver.com/offices?articleNo=2632142199,https://web.33m2.co.kr/guest/room/68698
103310,포브하우스,오피스텔,원룸,서울특별시,영등포구,여의도동,국회의사당역,88,15,62.0,269.4,11,18,243.6,60,25.0,표기,85.0,600,1,1.37,2.87,4.06,158.6,14,60,92.5,160,한서리버파크,https://new.land.naver.com/offices?articleNo=2631756813,https://web.33m2.co.kr/guest/room/103310
21950,합정역 3분 한강뷰,오피스텔,원룸,서울특별시,마포구,합정동,합정역,18,8,79.0,343.3,25,3,313.5,140.0,16.0,미표기(평당2만),156.0,1500.0,2,1.97,2.01,2.24,157.5,3,110,140,140,스퀘어리버뷰합정,https://new.land.naver.com/offices?articleNo=2627433040,https://web.33m2.co.kr/guest/room/21950
42380,"컨벤시아,센트럴파크",오피스텔,투룸,인천광역시,연수구,송도동,입구역,161,29,59.0,256.4,29,0,244.4,70.0,18.0,표기,88.0,600.0,10,1.49,2.78,3.49,156.4,27,10,70,120,송도더샵퍼스트월드,https://new.land.naver.com/offices?articleNo=2631902959,https://web.33m2.co.kr/guest/room/42380
14235,잠실 럭셔리하우스_1,아파트,원룸,서울특별시,송파구,잠실동,잠실역,75,23,95.0,412.8,15,13,359.2,160.0,46.0,미표기(평당2만),206.0,1500.0,2,2.17,1.74,2.25,153.2,3,120,150,170,갤러리아팰리스,https://new.land.naver.com/offices?articleNo=2631899642,https://web.33m2.co.kr/guest/room/14235
41925,을지로남산뷰신축풀옵션,오피스텔,투룸,서울특별시,중구,을지로5가,역사문화공원역,40,18,109.0,473.6,13,13,357.2,190,15.0,표기,205.0,3000,1,1.88,1.74,1.88,152.2,8,190,245.0,280,남산푸르지오발라드,https://new.land.naver.com/offices?articleNo=2632387276,https://web.33m2.co.kr/guest/room/41925
78247,서울대입구 투룸 풀옵션,오피스텔,투룸,서울특별시,관악구,봉천동,서울대입구역,171,8,47.0,204.2,29,0,194.7,30,15.0,표기,45.0,12000,1,0.96,4.33,6.49,149.7,8,25,30.0,35,마이홈타운,https://new.land.naver.com/offices?articleNo=2632216203,https://web.33m2.co.kr/guest/room/78247
110153,잠실🌟아산병원🌟롯데타워,오피스텔,투룸,서울특별시,송파구,방이동,,133,11,55.0,239.0,29,0,227.9,60,22.0,미표기(평당2만),82.0,15000,1,1.49,2.78,3.8,145.9,1,60,60,60,잠실소프라우스,https://new.land.naver.com/offices?articleNo=2632365127,https://web.33m2.co.kr/guest/room/110153
